"sku","tier_price_website","tier_price_customer_group","tier_price_qty","tier_price","tier_price_value_type"
"LIL44400","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"LIL44400","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ126706201","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ126706201","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36272102","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36272102","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36320127","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36320127","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36329201","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36329201","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36329301","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36329301","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36348601","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36348601","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36349101","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36349101","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36422801","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36422801","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36429611","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36429611","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36440004","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36440004","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36440010","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36440010","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36440501","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36440501","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36441201","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36441201","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36445401","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36445401","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36445603","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36445603","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36447801","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36447801","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36455501","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36455501","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36455701","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36455701","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36458101","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36458101","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36464601","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36464601","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36467202","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36467202","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36467302","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36467302","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36467402","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36467402","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36467502","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36467502","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"ONQ36472801","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"ONQ36472801","All Websites [USD]","Tools & Lighting",5,5,"Discount"
