"sku","tier_price_website","tier_price_customer_group","tier_price_qty","tier_price","tier_price_value_type"
"MIL030020","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL030020","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL088020","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL088020","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL12501","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL12501","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL16766","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL16766","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL168021","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL168021","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL221020","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL221020","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL223520","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL223520","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL229021","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL229021","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL230622","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL230622","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL231021","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL231021","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL232020","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL232020","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL232220","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL232220","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL232221","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL232221","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2331L","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2331L","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2331M","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2331M","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2331XL","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2331XL","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2331XXL","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2331XXL","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2333L","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2333L","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2333M","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2333M","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2333S","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2333S","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2333XL","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2333XL","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2333XXL","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2333XXL","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL233520","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL233520","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2338L","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"MIL2338L","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"MIL2338M","All Websites [USD]","B2B Registered Users",5,5,"Discount"
