"sku","tier_price_website","tier_price_customer_group","tier_price_qty","tier_price","tier_price_value_type"
"CFI10306UNVHI","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI10306UNVHI","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI10327","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI10327","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI1AVEG39L8354ACRUNV","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI1AVEG39L8354ACRUNV","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI1LP3GS23216AL34712EBO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI1LP3GS23216AL34712EBO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI1LP3GS23216ALUNV12EBO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI1LP3GS23216ALUNV12EBO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVEG38L8352ACRUNV","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVEG38L8352ACRUNV","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVEG38L8354ACRUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVEG38L8354ACRUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVEG39L8354ACRUNV","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVEG39L8354ACRUNV","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG232PMW34712EBOPTI","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVG232PMW34712EBOPTI","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG232PMWUNV12EBOPTI","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG232PMWUNV12EBOPTI","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVG2CF40PMW34712EB","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG2CF40PMW34712EB","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVG2CF40PMWUNV12EB","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG2CF40PMWUNV12EB","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVG2CF40SPMWUNV12EB1","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2AVG2CF40SPMWUNV12EB1","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG332PMWUNV13EBOPTI","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2AVG332PMWUNV13EBOPTI","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2CAG42L8404DSUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2CAG42L8404DSUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2CLG36L8352DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2CLG36L8352DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2CLG36L8402DUNVDIM","All Websites [USD]","Tools & Lighting",20,20,"Discount"
"CFI2CLG36L8402DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2CLG36L8402DUNVDIM","All Websites [USD]","Tools & Lighting",10,10,"Discount"
"CFI2CLG36L8402DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2CLG41L8354DUNVDIM","All Websites [USD]","Tools & Lighting",10,10,"Discount"
"CFI2CLG41L8354DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2CLG41L8354DUNVDIM","All Websites [USD]","Tools & Lighting",20,20,"Discount"
"CFI2CLG41L8354DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2EVG38L8352DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2EVG38L8352DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2EVG38L8402DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2EVG38L8402DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2EVG48L8354DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2EVG48L8354DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2EVG48L8404DUNVDIM","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2EVG48L8404DUNVDIM","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2LP3GS231U6R33ALUNV12","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2LP3GS231U6R33ALUNV12","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2LP3GS23226AL34712EBO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2LP3GS23226AL34712EBO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2LP3GS23226ALUNV12EBO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2LP3GS23226ALUNV12EBO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2LP3GS33236AL34713EBO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2LP3GS33236AL34713EBO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2LP3GS33236ALUNV13EBO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2LP3GS33236ALUNV13EBO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2TG8231U6R0134712EBOP","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2TG8231U6R0134712EBOP","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2TG8231U6R01UNV12EBOP","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2TG8231U6R01UNV12EBOP","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2TG82320134712EBOPTIS","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2TG82320134712EBOPTIS","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"CFI2TG823201UNV12EBOPTIS","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"CFI2TG823201UNV12EBOPTIS","All Websites [USD]","B2B Registered Users",5,5,"Discount"
