"sku","tier_price_website","tier_price_customer_group","tier_price_qty","tier_price","tier_price_value_type"
"FUR14DSE32AA","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR14DSE32AA","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42AF15AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42AF15AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42AF15AJ","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42AF15AJ","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42AF25AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42AF25AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42BF15AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42BF15AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42BF25AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42BF25AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42BF35AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42BF35AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42CF15AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42CF15AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42CF25AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42CF25AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42CF35AJ","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42CF35AJ","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42DF15AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42DF15AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42DF35AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42DF35AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42EF15AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR42EF15AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42EF35AF","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR42EF35AF","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR48ASE3M20","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR48ASE3M20","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR48ASU3M20","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR48ASU3M20","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR48ATC3S00","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR48ATC3S00","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR48BSJ3M20","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR48BSJ3M20","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR48DC38AA4","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR48DC38AA4","All Websites [USD]","B2B Registered Users",5,5,"Discount"
"FUR49AAFO","All Websites [USD]","Tools & Lighting",5,5,"Discount"
"FUR49AAFO","All Websites [USD]","B2B Registered Users",5,5,"Discount"
